PPID,PP,EAL,SEN,HML,Re,Wr,Ma,Att8Est,Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccAct,EbaccDiff
89,1,0,1,2,2.5,2.25,2.5,3.7,2.3,-1.41,4.2,3,-1.16,3.7,3,-0.68,2.9,0.7,-2.25
232,0,0,0,2,3.5,3.25,2.5,4.9,7,2.07,5.3,7,1.74,4.8,7,2.15,4.5,7,2.49
961,0,0,0,3,3.5,2.75,3.25,6.5,6.6,0.06,6.5,6,-1.02,6.7,7,0.3,6.4,7,0.61
577,0,0,0,2,2.5,2.5,2.5,3.9,4.7,0.83,4.3,6,1.19,3.8,4,0.19,3.1,2.3,-0.78
860,0,0,1,1,1.75,2.25,1.5,2.5,2,-0.57,3.1,2,-1.11,2.4,3,0.6,1.4,0,-1.45
609,1,0,0,3,3.5,2.75,3.75,6.4,4.6,-1.81,6.5,4,-2.5,6.5,6,-1.01,6.3,4.5,-1.76
671,0,0,0,2,2.5,1.75,3.25,4.1,4,-0.14,4.6,3,-1.56,4.1,7,2.91,3.5,2.7,-0.81
390,1,0,0,2,3.5,3.25,2.5,4.9,4.5,-0.41,5.3,6,0.24,4.8,4,-0.85,4.5,4,-0.51
904,0,0,0,2,2.75,2.5,3.25,4.9,2.8,-2.18,5.3,3,-2.26,4.8,4,-0.85,4.5,0.5,-4.01
85,1,0,0,2,3.25,2.75,2.25,4.1,4.7,0.56,4.6,6,0.94,4.1,4,-0.09,3.5,3.3,-0.15
162,1,0,0,2,2.75,2.5,2.5,3.9,3.4,-0.52,4.3,4,-0.31,3.8,3,-0.81,3.1,2,-1.11
924,0,0,0,2,2.25,2.25,2.25,3.1,4.1,0.91,3.6,3,-0.64,3.1,4,0.87,2.2,3.3,1.16
710,1,0,0,2,3.25,2.5,2.75,4.4,3.3,-1.15,4.8,4,-0.8,4.3,3,-1.3,3.8,0.7,-3.16
725,1,0,0,2,2.75,2.25,2.5,3.9,2.8,-1.07,4.3,3,-1.31,3.8,3,-0.81,3.1,2,-1.11
534,0,0,0,1,1.75,1.5,2.25,2.8,2.2,-0.61,3.4,2,-1.37,2.8,3,0.24,1.8,0.3,-1.43
295,0,0,0,2,2.75,2.5,1.5,3.1,3.9,0.71,3.6,4,0.36,3.1,4,0.87,2.2,2,-0.18
245,0,0,0,2,2.25,1.75,2.25,3.1,2.3,-0.89,3.6,2,-1.64,3.1,3,-0.13,2.2,1.2,-1.01
852,1,1,0,2,2.5,2.75,2.5,4.1,4.6,0.41,4.6,6,0.94,4.1,4,-0.09,3.5,2.8,-0.65
